@relation german_credit-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0

@attribute checking_status {<0,0<=X<200,>=200,'no checking'}
@attribute duration numeric
@attribute credit_history {'no credits/all paid','all paid','existing paid','delayed previously','critical/other existing credit'}
@attribute purpose {'new car','used car',furniture/equipment,radio/tv,'domestic appliance',repairs,education,vacation,retraining,business,other}
@attribute credit_amount numeric
@attribute savings_status {<100,100<=X<500,500<=X<1000,>=1000,'no known savings'}
@attribute employment {unemployed,<1,1<=X<4,4<=X<7,>=7}
@attribute installment_commitment numeric
@attribute personal_status {'male div/sep','female div/dep/mar','male single','male mar/wid','female single'}
@attribute other_parties {none,'co applicant',guarantor}
@attribute residence_since numeric
@attribute property_magnitude {'real estate','life insurance',car,'no known property'}
@attribute age numeric
@attribute other_payment_plans {bank,stores,none}
@attribute housing {rent,own,'for free'}
@attribute existing_credits numeric
@attribute job {'unemp/unskilled non res','unskilled resident',skilled,'high qualif/self emp/mgmt'}
@attribute num_dependents numeric
@attribute own_telephone {none,yes}
@attribute foreign_worker {yes,no}
@attribute class {good,bad}

@data
<0,0.029412,'critical/other existing credit',radio/tv,0.050567,'no known savings',>=7,1,'male single',none,1,'real estate',0.857143,none,own,0.333333,skilled,0,yes,yes,good
0<=X<200,0.647059,'existing paid',radio/tv,0.31369,<100,1<=X<4,0.333333,'female div/dep/mar',none,0.333333,'real estate',0.053571,none,own,0,skilled,0,none,yes,bad
'no checking',0.117647,'critical/other existing credit',education,0.101574,<100,4<=X<7,0.333333,'male single',none,0.666667,'real estate',0.535714,none,own,0,'unskilled resident',1,none,yes,good
<0,0.558824,'existing paid',furniture/equipment,0.419941,<100,4<=X<7,0.333333,'male single',guarantor,1,'life insurance',0.464286,none,'for free',0,skilled,1,none,yes,good
<0,0.294118,'delayed previously','new car',0.254209,<100,1<=X<4,0.666667,'male single',none,1,'no known property',0.607143,none,'for free',0.333333,skilled,1,none,yes,bad
'no checking',0.470588,'existing paid',education,0.484483,'no known savings',1<=X<4,0.333333,'male single',none,1,'no known property',0.285714,none,'for free',0,'unskilled resident',1,yes,yes,good
'no checking',0.294118,'existing paid',furniture/equipment,0.142236,500<=X<1000,>=7,0.666667,'male single',none,1,'life insurance',0.607143,none,own,0,skilled,0,none,yes,good
0<=X<200,0.470588,'existing paid','used car',0.368548,<100,1<=X<4,0.333333,'male single',none,0.333333,car,0.285714,none,rent,0,'high qualif/self emp/mgmt',0,yes,yes,good
'no checking',0.117647,'existing paid',radio/tv,0.154561,>=1000,4<=X<7,0.333333,'male div/sep',none,1,'real estate',0.75,none,own,0,'unskilled resident',0,none,yes,good
0<=X<200,0.382353,'critical/other existing credit','new car',0.274238,<100,unemployed,1,'male mar/wid',none,0.333333,car,0.160714,none,own,0.333333,'high qualif/self emp/mgmt',0,none,yes,bad
0<=X<200,0.117647,'existing paid','new car',0.0575,<100,<1,0.666667,'female div/dep/mar',none,0,car,0.107143,none,rent,0,skilled,0,none,yes,bad
