LSHM,' USHM',' Momento1',' Momento2',' Momento3',' Momento4',' Cumulante1',' Cumulante2',' Cumulante3',' Cumulante4',' Cumulante6',' Skewness',' Kurtosis',' Axm',' Xp',' xr',' FactorCresta',' FactorForma',' Condition'
0.545997,0.437191,0.162495,0.033792,0.962576,0.520759,0.162495,0.775468,0.020197,0.469509,0.002506,0.747406,0.962366,0.877843,0.868663,0.876474,0.979233,0.982418,' R1'
0.473952,0.471209,0.114227,0.705417,0.949891,0.393151,0.114227,0.704616,0.467321,0.59376,0.931476,0.746632,0.961505,0.836915,0.823976,0.83682,0.975109,0.981331,' R1'
0.568003,0.57627,0.111722,0.624401,0.958756,0.263586,0.111722,0.623384,0.517835,0.725502,0.002917,0.74716,0.965305,0.784192,0.771809,0.781245,0.971563,0.984394,' R1'
0.596047,0.562908,0.109758,0.518919,0.946532,0.118916,0.109758,0.517635,0.54352,0.876523,0.003287,0.745954,0.978638,0.70752,0.68166,0.699024,0.941896,0.993481,' R1'
0.532221,0.342539,0.160338,0.037793,0.95468,0.596722,0.160338,0.815584,0,0.392657,0.923712,0.747,0.961219,0.900496,0.025509,0.899287,0.973082,0.982616,' R1'
0.470209,0.446508,0.15906,0.757667,0.958564,0.485013,0.15906,0.756931,0.061644,0.501943,0.922356,0.747184,0.960287,0.866985,0.847935,0.865602,0.967438,0.000198,' R1'
0.461057,0.525585,0.153885,0.614451,0.967205,0.24703,0.153885,0.014988,0.219591,0.73948,0.001725,0.747793,0.962294,0.777222,0.762594,0.773285,0.967656,0.985282,' R1'
0.442836,0.563486,0.156847,0.548443,0.956444,0.153598,0.156847,0.547133,0.235883,0.834063,0.921905,0.746927,0.00086,0.731603,0.714728,0.006019,0.96042,0.988048,' R1'
0.637301,0.735385,0.081888,0.500982,0.964228,0.09787,0.081888,0.49965,0.736044,0.900724,0.949963,0.747654,0.985161,0.002413,0.660639,0.687181,0.00246,0.993777,' R1'
0.572699,0.403868,0.082897,0.009445,0.965023,0.132974,0.082897,0.0068,0.732961,0.854873,0.923589,0.747699,0.966882,0.720656,0.006491,0.714556,0.948408,0.988345,' R1'
0.452041,1,0.08954,0.832719,0.944326,0.629498,0.08954,0.832272,0.667175,0.359384,0.001725,0.746499,0.961147,0.909298,0.883033,0.02422,0.96013,0.983109,' R1'
0.455008,0.208862,0.079852,0.722581,0.986986,0.42245,0.079852,0.72184,0.795534,0.563797,0.923178,0.748883,0.960789,0.845851,0.019232,0.844052,0.961795,0.983011,' R1'
0.505131,0.438774,0.089918,0.620638,0.932962,0.255873,0.089918,0.619626,0.653094,0.729206,0.001561,0.745241,0.961219,0.781422,0.759469,0.777654,0.005427,0.984887,' R1'
0.537128,0.391052,0.087506,0.562483,0.96389,0.171994,0.087506,0.561315,0.702638,0.813632,0.91529,0.747574,0.963011,0.741209,0.713954,0.735087,0.004269,0.987752,' R1'
